age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preferred_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Male,More than 2 years,Smart speakers or voice assistants,Free,Yes,Student Plan,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,None,None,None,None,Very Dissatisfied
20-35,Female,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time, ",Playlists,3,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Free,Yes,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,Others,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time",Playlists,5,Never,None,None,None,None,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Afternoon,Relaxation and stress relief,Office hours,Playlists,3,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free,No,Student Plan,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio, Others",5,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, Workout session, leisure time",Playlists,3,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Others,1,Never,None,None,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Wearable devices,Free,No,Student Plan,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4,Never,Food and cooking,Educational,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Morning,Uplifting and motivational,leisure time,"recommendations, Playlists",3,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,1,Rarely,None,Educational,None,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Electronic/Dance,Night,Social gatherings or parties,Workout session,Others,2,Never,None,None,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,Yes,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Others",4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time",Others,4,Rarely,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists, Others",4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,"recommendations, Playlists, Others",3,Once a week,Health and Fitness,Conversational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,5,Once a week,Food and cooking,Conversational,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Melody,Night,Sadness or melancholy,"Office hours, While Traveling",Others,4,Never,Food and cooking,Conversational,Both,Shorter,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,No,Student Plan,Music,All,Night,"Uplifting and motivational, Social gatherings or parties",leisure time,"recommendations, Playlists",4,Never,Comedy,Story telling,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Sports,Story telling,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists, Others",4,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,Playlists,3,Never,None,None,None,None,Ok
20-35,Male,Less than 6 months,"Smartphone, Smart speakers or voice assistants",Free,No,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",leisure time,recommendations,3,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Duo plan,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,"recommendations, Playlists",4,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Female,More than 2 years,Smartphone,Free,Yes,Family Plan,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, leisure time",Radio,3,Rarely,None,None,None,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Individual Plan,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Student Plan,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,3,Once a week,Comedy,Story telling,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Student Plan,Music,Rap,Morning,Relaxation and stress relief,While Traveling,recommendations,5,Daily,Health and Fitness,Story telling,Both,Longer,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Rap,Night,Social gatherings or parties,leisure time,recommendations,4,Rarely,None,None,None,None,Ok
20-35,Female,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Afternoon,Uplifting and motivational,Workout session,Playlists,5,Several times a week,Comedy,Story telling,Both,Both,Very Satisfied
35-60,Male,6 months to 1 year,Smartphone,Free,No,Individual Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Radio,5,Rarely,Comedy,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",recommendations,3,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Student Plan,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Electronic/Dance,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Lifestyle and Health,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Duo plan,Music,Melody,Night,Sadness or melancholy,While Traveling,recommendations,3,Rarely,None,Conversational,Both,Both,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Individual Plan,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,None,None,None,None,Very Dissatisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",3,Rarely,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Once a week,Comedy,None,None,Both,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Individual Plan,Yes,Individual Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Radio, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",Playlists,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free,No,Student Plan,Music,Pop,Night,Sadness or melancholy,"Workout session, leisure time",Others,4,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Individual Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Never,None,None,None,None,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Student Plan,Music,Melody,Night,Relaxation and stress relief,"Study Hours, Workout session, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,Smartphone,Student Plan,Yes,Student Plan,Podcast,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Several times a week,Lifestyle and Health,Conversational,Both,Both,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free,Yes,Duo plan,Music,Melody,Night,Sadness or melancholy,While Traveling,"Others, Search",4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",5,Rarely,Food and cooking,Conversational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Morning,Relaxation and stress relief,Study Hours,Playlists,3,Never,None,Story telling,unknown Podcasters,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Rarely,Comedy,None,None,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Others",3,Once a week,Sports,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Sports,Educational,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Podcast,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Several times a week,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,2,Rarely,Comedy,Educational,Both,Longer,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Playlists",3,Rarely,None,None,None,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,No,Duo plan,Music,Melody,Afternoon,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, ",recommendations,4,Several times a week,None,None,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Individual Plan,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,Yes,Family Plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Lifestyle and Health,Conversational,Well known individuals,Both,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time",recommendations,4,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,Playlists,4,Rarely,Food and cooking,Conversational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"Office hours, leisure time",Playlists,3,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,Smartphone,Student Plan,Yes,Student Plan,Music,Rock,Morning,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,3,Never,None,None,Well known individuals,Shorter,Dissatisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,3,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,Yes,Individual Plan,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,5,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Family Plan,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Others",5,Rarely,Self help,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,"Classical & melody, dance",Night,Relaxation and stress relief,leisure time,Others,3,Never,None,Conversational,Well known individuals,None,Ok
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,Yes,Family Plan,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Lifestyle and Health,Educational,unknown Podcasters,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Interview,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,Both,Both,Ok
20-35,Male,More than 2 years,Smartphone,Free,No,Family Plan,Music,classical,Night,Relaxation and stress relief,"Office hours, While Traveling",Playlists,4,Rarely,Comedy,Conversational,None,Shorter,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,Yes,Student Plan,Music,classical,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,Others,4,Never,None,None,None,None,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,4,Never,None,Conversational,None,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Individual Plan,Yes,Individual Plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Health and Fitness,Educational,Both,Shorter,Satisfied
20-35,Others,1 year to 2 years,Computer or laptop,Free,Yes,Duo plan,Podcast,Rap,Night,Sadness or melancholy,leisure time,Others,2,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
20-35,Female,1 year to 2 years,Computer or laptop,Individual Plan,No,Individual Plan,Music,classical,Morning,Relaxation and stress relief,Study Hours,Playlists,2,Once a week,Health and Fitness,Interview,Well known individuals,Both,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Individual Plan,Yes,Individual Plan,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, While Traveling",Playlists,2,Several times a week,Comedy,Educational,Both,Longer,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Duo plan,No,Duo plan,Music,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,2,Several times a week,Sports,Conversational,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,Computer or laptop,Free,Yes,Family Plan,Podcast,Rap,Afternoon,Uplifting and motivational,While Traveling,Radio,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Individual Plan,Yes,Individual Plan,Podcast,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,2,Once a week,Health and Fitness,Interview,Both,Longer,Very Satisfied
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Free,No,Duo plan,Podcast,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,2,Once a week,Health and Fitness,Interview,Both,Longer,Ok
20-35,Female,More than 2 years,Computer or laptop,Free,Yes,Individual Plan,Music,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Interview,Well known individuals,Longer,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free,Yes,Family Plan,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Rarely,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
35-60,Female,6 months to 1 year,Smart speakers or voice assistants,Free,No,Duo plan,Music,Rap,Afternoon,Sadness or melancholy,While Traveling,Others,3,Once a week,Health and Fitness,Conversational,Both,Both,Dissatisfied
35-60,Female,6 months to 1 year,Computer or laptop,Free,Yes,Individual Plan,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, Workout session","Playlists, Radio",3,Once a week,Sports,Interview,Both,Longer,Satisfied
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Individual Plan,Yes,Individual Plan,Music,Rap,Night,Uplifting and motivational,Study Hours,Playlists,3,Rarely,Lifestyle and Health,Story telling,Both,Longer,Very Satisfied
20-35,Female,1 year to 2 years,Wearable devices,Individual Plan,Yes,Individual Plan,Music,Electronic/Dance,Afternoon,Sadness or melancholy,Workout session,Radio,3,Rarely,Sports,Conversational,Both,Both,Satisfied
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Individual Plan,Yes,Individual Plan,Podcast,Rap,Afternoon,Sadness or melancholy,Workout session,Radio,3,Rarely,Sports,Story telling,unknown Podcasters,Both,Satisfied
35-60,Female,6 months to 1 year,Computer or laptop,Family Plan,No,Family Plan,Podcast,Melody,Morning,Uplifting and motivational,Workout session,Radio,4,Rarely,Lifestyle and Health,Interview,Well known individuals,Both,Ok
20-35,Female,Less than 6 months,Computer or laptop,Duo plan,No,Duo plan,Music,classical,Afternoon,Uplifting and motivational,Workout session,Others,2,Once a week,Sports,None,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free,No,Duo plan,Podcast,classical,Morning,Uplifting and motivational,"Study Hours, leisure time","Playlists, Radio, Others",3,Once a week,Lifestyle and Health,Interview,Both,Both,Ok
20-35,Male,6 months to 1 year,Computer or laptop,Family Plan,No,Family Plan,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,Radio,3,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,No,Family Plan,Podcast,Rap,Afternoon,Sadness or melancholy,"Study Hours, While Traveling",Playlists,3,Rarely,Sports,Conversational,Both,Both,Ok
20-35,Male,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,classical,Afternoon,Sadness or melancholy,Workout session,"Radio, Others",3,Rarely,Sports,Story telling,Well known individuals,Longer,Ok
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free,Yes,Duo plan,Music,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, leisure time","recommendations, Radio, Others",3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Free,Yes,Duo plan,Podcast,classical,Night,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, leisure time",Radio,3,Rarely,Sports,Story telling,unknown Podcasters,Both,Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Duo plan,No,Duo plan,Music,Rap,Afternoon,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, Workout session","Playlists, Radio, Others",2,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Family Plan,Yes,Family Plan,Podcast,Melody,Night,Sadness or melancholy,Study Hours,Radio,3,Once a week,Comedy,Interview,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Free,Yes,Family Plan,Podcast,Melody,Afternoon,Uplifting and motivational,Workout session,Radio,3,Rarely,Sports,Story telling,unknown Podcasters,Longer,Very Satisfied
20-35,Male,6 months to 1 year,Smart speakers or voice assistants,Free,No,Duo plan,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,"Playlists, Radio",2,Several times a week,Comedy,Story telling,Both,Longer,Ok
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free,Yes,Family Plan,Podcast,classical,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session","recommendations, Radio, Others",4,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Both,Dissatisfied
20-35,Female,1 year to 2 years,Smartphone,Family Plan,Yes,Family Plan,Music,Melody,Afternoon,Sadness or melancholy,leisure time,Others,3,Rarely,Sports,Story telling,Both,Both,Ok
20-35,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free,No,Duo plan,Podcast,classical,Afternoon,"Uplifting and motivational, Social gatherings or parties",While Traveling,Playlists,4,Rarely,Sports,Interview,Both,Both,Very Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Individual Plan,Podcast,Rap,Afternoon,Sadness or melancholy,leisure time,Playlists,4,Rarely,Comedy,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Male,6 months to 1 year,Computer or laptop,Free,Yes,Individual Plan,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,recommendations,3,Several times a week,Lifestyle and Health,Interview,Well known individuals,Longer,Ok
20-35,Male,1 year to 2 years,Smart speakers or voice assistants,Student Plan,Yes,Student Plan,Podcast,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,4,Rarely,Sports,Conversational,Both,Both,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free,No,Duo plan,Podcast,classical,Afternoon,Sadness or melancholy,"Study Hours, Workout session",Radio,3,Several times a week,Health and Fitness,Story telling,Both,Shorter,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Family Plan,Music,Rap,Afternoon,Social gatherings or parties,While Traveling,Playlists,3,Once a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Duo plan,Yes,Duo plan,Podcast,Rap,Afternoon,Uplifting and motivational,"Office hours, While Traveling","recommendations, Playlists, Others",4,Several times a week,Sports,Story telling,Both,Longer,Satisfied
20-35,Male,6 months to 1 year,Smart speakers or voice assistants,Free,Yes,Duo plan,Podcast,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Radio,3,Once a week,Sports,Interview,Well known individuals,Both,Very Dissatisfied
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Free,No,Duo plan,Music,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Male,More than 2 years,Smart speakers or voice assistants,Student Plan,Yes,Student Plan,Podcast,classical,Afternoon,Relaxation and stress relief,Study Hours,Playlists,3,Several times a week,Health and Fitness,Story telling,Well known individuals,Longer,Very Satisfied
20-35,Female,1 year to 2 years,Wearable devices,Free,Yes,Duo plan,Podcast,classical,Morning,Uplifting and motivational,"Office hours, While Traveling","recommendations, Radio",3,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied
20-35,Male,Less than 6 months,Smart speakers or voice assistants,Duo plan,Yes,Duo plan,Music,classical,Morning,Uplifting and motivational,Workout session,Playlists,4,Rarely,Lifestyle and Health,Interview,unknown Podcasters,Both,Satisfied
20-35,Female,Less than 6 months,Computer or laptop,Free,No,Duo plan,Podcast,classical,Morning,Uplifting and motivational,"Office hours, Study Hours, While Traveling","Playlists, Radio",3,Rarely,Health and Fitness,Conversational,unknown Podcasters,Both,Ok
